地名ID	地名	说明	隶属郡	地名类型	地名渊源	渊源类型	首现文献	设置时间	取消时间	辖县	隶属刺史
1250	長沙										
1251	臨湘										
1252	益陽										
1253	羅縣										
1254	下雋										
1255	醴陵										
1256	湘南										
1257	攸縣										
1258	容陵										
1259	茶陵										
1260	安城										
1261	連道										
1262	昭陵										
1263	泉陵										
1264	重安										
1265	湘鄉										
1266	昭陽										
1267	烝陽										
1268	夫夷										
1269	都梁										
1270	洮陽										
1271	零陵										
1272	始安										
1273	營浦										
1274	營道										
1275	泠道										
1276	郴縣										
1277	漢寧										
1278	便縣										
1279	耒陽										
1280	陰山										
1281	南平										
1282	臨武										
1283	桂陽										
1284	曲江										
1285	湞陽										
1286	陰陵										
1287	鐘離										
1288	義成										
1289	當塗										
1290	平阿										
1291	下蔡										
1292	西曲陽										
1293	壽春										
1294	成德										
1295	合肥										
1296	浚遒										
1297	全椒										
1298	阜陵										
1299	曆陽										
1300	舒縣										
1301	臨湖										
1302	襄安										
1303	居巢										
1304	皖縣										
1305	尋陽										
1306	龍舒										
1307	六安										
1308	安風										
1309	雩婁										
1310	安豐										
1311	陽泉										
1312	蓼縣										
1313	宛陵										
1314	春穀										
1315	蕪湖										
1316	溧陽										
1317	丹陽										
1318	石城										
1319	秣陵										
1320	湖熟										
1321	句容										
1322	江乘										
1323	涇縣										
1324	陵陽										
1325	黟縣										
1326	歙縣										
1327	於潛										
1328	故鄣										
1329	吳縣										
1330	婁縣										
1331	無錫										
1332	毗陵										
1333	曲阿										
1334	丹徒										
1335	陽羨										
1336	烏程										
1337	余杭										
1338	錢唐										
1339	富春										
1340	由拳										
1341	海鹽										
1342	山陰										
1343	餘暨										
1344	上虞										
1345	余姚										
1346	句章										
1347	鄮縣										
1348	鄞縣										
1349	剡縣										
1350	諸暨										
1351	烏傷										
1352	大末										
1353	章安										
1354	永寧										
1355	東治										
1356	南昌										
1357	餘汗										
1358	鄱陽										
1359	鷍陽										
1360	海錯										
1361	曆陵										
1362	彭澤										
1363	柴桑										
1364	建昌										
1365	宜春										
1366	新淦										
1367	建城										
1368	臨汝										
1369	南城										
1370	石陽										
1371	平都										
1372	廬陵										
1373	南野										
1374	鄠都										
1375	贛縣										
1376	艾縣										
1377	番禺										
1378	四會										
1379	中宿										
1380	增城										
1381	博羅										
1382	龍川										
1383	揭陽										
1384	廣信										
1385	邽陽										
1386	臨賀										
1387	富川										
1388	馮乘										
1389	謝沭										
1390	猛陵										
1391	荔浦										
1392	端溪										
1393	高要										
1394	合浦										
1395	高涼										
1396	臨允										
1397	徐聞										
1398	布山										
1399	阿林										
1400	中溜										
1401	桂林										
1402	潭中										
1403	定周										
1404	領方										
1405	安廣										
1406	增食										
1407	臨塵										
1408	廣鬱										
1409	龍編										
1410	望海										
1411	西於										
1412	封溪										
1413	苟漏										
1414	泠										
1415	嬴										
1416	北帶										
1417	曲陽										
1418	稽徐										
1419	定安										
1420	胥浦										
1421	居風										
1422	無編										
1423	無功										
1424	鹹懽										
1425	西卷										
1426	盧容										
1427	朱吾										
1428	比景										
1429	撥換城										
1430	少陵										
1431	七盤關										
1432	永安宮										
1433	萬里橋										
1434	細柳										
1435	蟯關										
1436	五丈原										
1437	和尚原										
1438	秀容										
1439	甯武關										
1440	左國城										
1441	天井關										
1442	採桑										
1443	平城										
1444	臨城										
1445	楊劉										
1446	單父										
1447	石堡城										
1448	大非川										
1449	平地松林										
1450	單子台										
1451	雞鹿塞										
1452	石頭城										
1453	台城										
1454	冶城										
1455	八百媳婦										
1456	雲梯關										
1457	崢嶸洲										
1458	東坡										
1459	麥城										
1460	長阪										
1461	會寧										
1462	虎牢關										
1463	金堤關										
1464	項縣										
1465	成皋										
1466	汜水關										
1467	牧野										
1468	相										
1469	應										
1470	陳橋驛										
1471	枋頭										
1472	井陘關										
1473	土木堡										
1474	草橋關										
1475	馬陵										
1476	大震關										
1477	祁山										
1478	考亭										
1479	官渡										
1480	柳林										
1481	白沙瓦										
1482	甬橋										
1483	芍陂										
1484	垓下										
1485	鬱孤台										
1486	甘露寺										
1487	羅猴山										
1488	廟街										
1489	尼布楚										
1490	汶江										
1491	陝甲										
1492	嶧山										
1493	膚施										
1494	昌黎										
1495	瀘水										
1496	武鄉										
1497	邰										
1498	豐鎬										
1499	邢										
1500	成周城										
1501	上蔡										
1502	吐火羅										
1503	藥殺水										
1504	花刺子模										
1505	烏滸水										
1506	媯水										
1507	扶南										
1508	軹關										
1509	吳會										
1510	東吳										
1511	京江										
1512	遼左										
1513	甫裡										
1514	中州										
1515	七閩										
1516	杏花村										
1517	河朔										
1518	西套蒙古										
1519	直隸										
1520	苕溪										
1521	赤城										
1522	甬										
1523	秀水										
1524	江左、江東										
1525	白山黑水										
1526	代郡										
1527	右北平										
1528	遼西										
1529	遼東										
1530	邯鄲										
1531	函谷關										
1532	臨晉										
1533	即墨										
1534	武遂										
1535	蘭陵										
1536	漢中										
1537	會稽山										
1538	招寶山										
1539	雙嶼港(山)										
1540	大昭寺										
1541	布達拉宮										
1542	小雁塔										
1543	雙城子										
1544	釣魚山										
1545	馬嵬坡										
1546	大雁塔										
1547	定軍山										
1548	戲水										
1549	雲岡石窟										
1550	田橫島										
1551	戲亭										
1552	龍編										
1553	舊港(巴領旁)										
1554	曲女城										
1555	交河城										
1556	柳中										
1557	輪台										
1558	荊紫關										
1559	武勝關										
1560	朱仙鎮										
1561	少林寺										
1562	飛狐口										
1563	靈隱寺										
1564	三元里										
1565	昆侖關										
1566	金田村										
1567	厓山										
1568	百花潭										
1569	武侯祠										
1570	昆明湖										
1571	雲南										
1572	哈拉和卓										
1573	佛山										
1574	山西										
1575	烏蒙										
1576	打牲烏拉										
1577	奉元										
1578	會通河										
1579	寧夏										
1580	懷慶										
1581	甘肅										
1582	應昌										
1583	中興										
1584	東昌										
1585	大都										
1586	保寧										
1587	汝寧										
1588	上都										
1589	西洋										
1590	開平										
1591	保定										
1592	嶺北行省										
1593	順德										
1594	臨濠										
1595	扡關										
1596	阿旃陀石窟										
1597	山南										
1598	庫倫										
1599	刺桐										
1600	茅麓山一										
1601	大秦										
1602	句注山										
1603	車裡										
1604	中東鐵路										
1605	嶺海										
